Año,Trimestre,Month,Importe total,Tipo de contrato
2020,T1 2020,enero 2020,"8482207,22 €","Obras, Privado, Servicios, Suministros"
2020,T1 2020,febrero 2020,"154078029,64 €","Obras, Privado, Servicios, Suministros"
2020,T1 2020,marzo 2020,"26965920,78 €","Obras, Privado, Servicios, Suministros"
2020,T2 2020,abril 2020,"36226595,65 €","Obras, Servicios, Suministros"
2020,T2 2020,mayo 2020,"41070767,59 €","Obras, Servicios, Suministros"
2020,T2 2020,junio 2020,"99912710,33 €","Obras, Servicios, Suministros"
2020,T3 2020,julio 2020,"116290801,80 €","Obras, Servicios, Suministros"
2020,T3 2020,agosto 2020,"37370766,91 €","Obras, Servicios, Suministros"
2020,T3 2020,septiembre 2020,"31162673,04 €","Obras, Patrimonial, Servicios, Suministros"
2020,T4 2020,octubre 2020,"23690066,91 €","Obras, Privado, Servicios, Suministros"
2020,T4 2020,noviembre 2020,"93911462,71 €","Obras, Privado, Servicios, Suministros"
2020,T4 2020,diciembre 2020,"68042726,36 €","Obras, Privado, Servicios, Suministros"
2021,T1 2021,enero 2021,"22633081,75 €","Obras, Servicios, Suministros"
2021,T1 2021,febrero 2021,"50243072,30 €","Administrativo especial, Obras, Privado, Servicios, Suministros"
2021,T1 2021,marzo 2021,"164760407,84 €","Obras, Servicios, Suministros"
2021,T2 2021,abril 2021,"46760237,89 €","Administrativo especial, Obras, Privado, Servicios, Suministros"
2021,T2 2021,mayo 2021,"25245316,44 €","Administrativo especial, Obras, Patrimonial, Privado, Servicios, Suministros"
2021,T2 2021,junio 2021,"44687718,83 €","Obras, Privado, Servicios, Suministros"
2021,T3 2021,julio 2021,"32829806,52 €","Obras, Servicios, Suministros"
2021,T3 2021,agosto 2021,"66634046,25 €","Administrativo especial, Obras, Privado, Servicios, Suministros"
2021,T3 2021,septiembre 2021,"92257217,73 €","Administrativo especial, Obras, Servicios, Suministros"
2021,T4 2021,octubre 2021,"31491392,64 €","Obras, Privado, Servicios, Suministros"
2021,T4 2021,noviembre 2021,"110479660,36 €","Administrativo especial, Obras, Patrimonial, Privado, Servicios, Suministros"
2021,T4 2021,diciembre 2021,"80983167,48 €","Obras, Servicios, Suministros"
2022,T1 2022,enero 2022,"44907864,10 €","Obras, Privado, Servicios, Suministros"
2022,T1 2022,febrero 2022,"38160197,73 €","Obras, Patrimonial, Servicios, Suministros"
2022,T1 2022,marzo 2022,"35969465,52 €","Obras, Privado, Servicios, Suministros"
2022,T2 2022,abril 2022,"36801073,49 €","Obras, Patrimonial, Servicios, Suministros"
2022,T2 2022,mayo 2022,"34141193,20 €","Obras, Patrimonial, Privado, Servicios, Suministros"
2022,T2 2022,junio 2022,"101250456,05 €","Obras, Privado, Servicios, Suministros"
2022,T3 2022,julio 2022,"51261895,16 €","Obras, Patrimonial, Servicios, Suministros"
2022,T3 2022,agosto 2022,"81674669,23 €","Obras, Privado, Servicios, Suministros"
2022,T3 2022,septiembre 2022,"57264689,48 €","Obras, Privado, Servicios, Suministros"
2022,T4 2022,octubre 2022,"76519186,91 €","Obras, Privado, Servicios, Suministros"
2022,T4 2022,noviembre 2022,"53858752,77 €","Obras, Servicios, Suministros"
2022,T4 2022,diciembre 2022,"154302026,06 €","Obras, Privado, Servicios, Suministros"
2023,T1 2023,enero 2023,"98125112,76 €","Obras, Privado, Servicios, Suministros"
2023,T1 2023,febrero 2023,"104947945,85 €","Obras, Patrimonial, Privado, Servicios, Suministros"
2023,T1 2023,marzo 2023,"156720382,80 €","Obras, Privado, Servicios, Suministros"
